Data,Cidade,Novos,Total
2020-04-02,Americana,1,3
2020-04-02,Artur Nogueira,0,0
2020-04-02,Campinas,5,44
2020-04-02,Cosmópolis,0,0
2020-04-02,Engenheiro Coelho,0,0
2020-04-02,Holambra,0,1
2020-04-02,Hortolândia,0,1
2020-04-02,Indaiatuba,0,2
2020-04-02,Itatiba,0,0
2020-04-02,Jaguariúna,0,1
2020-04-02,Monte Mor,0,0
2020-04-02,Morungaba,0,0
2020-04-02,Nova Odessa,0,0
2020-04-02,Paulínia,1,4
2020-04-02,Pedreira,0,0
2020-04-02,Santa Bárbara D'oeste,0,0
2020-04-02,Santo Antônio De Posse,0,0
2020-04-02,Sumaré,0,1
2020-04-02,Valinhos,0,3
2020-04-02,Vinhedo,0,2
2020-04-03,Americana,0,3
2020-04-03,Artur Nogueira,0,0
2020-04-03,Campinas,9,53
2020-04-03,Cosmópolis,0,0
2020-04-03,Engenheiro Coelho,0,0
2020-04-03,Holambra,0,1
2020-04-03,Hortolândia,0,1
2020-04-03,Indaiatuba,0,2
2020-04-03,Itatiba,0,0
2020-04-03,Jaguariúna,0,1
2020-04-03,Monte Mor,0,0
2020-04-03,Morungaba,0,0
2020-04-03,Nova Odessa,0,0
2020-04-03,Paulínia,0,4
2020-04-03,Pedreira,0,0
2020-04-03,Santa Bárbara D'oeste,0,0
2020-04-03,Santo Antônio De Posse,0,0
2020-04-03,Sumaré,0,1
2020-04-03,Valinhos,0,3
2020-04-03,Vinhedo,2,4
2020-04-04,Americana,1,4
2020-04-04,Artur Nogueira,0,0
2020-04-04,Campinas,12,65
2020-04-04,Cosmópolis,0,0
2020-04-04,Engenheiro Coelho,0,0
2020-04-04,Holambra,0,1
2020-04-04,Hortolândia,0,1
2020-04-04,Indaiatuba,0,2
2020-04-04,Itatiba,0,0
2020-04-04,Jaguariúna,0,1
2020-04-04,Monte Mor,0,0
2020-04-04,Morungaba,0,0
2020-04-04,Nova Odessa,0,0
2020-04-04,Paulínia,0,4
2020-04-04,Pedreira,0,0
2020-04-04,Santa Bárbara D'oeste,0,0
2020-04-04,Santo Antônio De Posse,0,0
2020-04-04,Sumaré,0,1
2020-04-04,Valinhos,0,3
2020-04-04,Vinhedo,0,4
2020-04-05,Americana,0,4
2020-04-05,Artur Nogueira,0,0
2020-04-05,Campinas,0,65
2020-04-05,Cosmópolis,0,0
2020-04-05,Engenheiro Coelho,0,0
2020-04-05,Holambra,0,1
2020-04-05,Hortolândia,0,1
2020-04-05,Indaiatuba,0,2
2020-04-05,Itatiba,0,0
2020-04-05,Jaguariúna,0,1
2020-04-05,Monte Mor,0,0
2020-04-05,Morungaba,0,0
2020-04-05,Nova Odessa,0,0
2020-04-05,Paulínia,0,4
2020-04-05,Pedreira,0,0
2020-04-05,Santa Bárbara D'oeste,0,0
2020-04-05,Santo Antônio De Posse,0,0
2020-04-05,Sumaré,3,4
2020-04-05,Valinhos,0,3
2020-04-05,Vinhedo,0,4
2020-04-06,Americana,0,4
2020-04-06,Artur Nogueira,0,0
2020-04-06,Campinas,3,68
2020-04-06,Cosmópolis,0,0
2020-04-06,Engenheiro Coelho,0,0
2020-04-06,Holambra,0,1
2020-04-06,Hortolândia,0,1
2020-04-06,Indaiatuba,0,2
2020-04-06,Itatiba,0,0
2020-04-06,Jaguariúna,0,1
2020-04-06,Monte Mor,0,0
2020-04-06,Morungaba,0,0
2020-04-06,Nova Odessa,0,0
2020-04-06,Paulínia,0,4
2020-04-06,Pedreira,0,0
2020-04-06,Santa Bárbara D'oeste,0,0
2020-04-06,Santo Antônio De Posse,0,0
2020-04-06,Sumaré,0,4
2020-04-06,Valinhos,0,3
2020-04-06,Vinhedo,1,5
2020-04-07,Americana,0,4
2020-04-07,Artur Nogueira,0,0
2020-04-07,Campinas,2,70
2020-04-07,Cosmópolis,0,0
2020-04-07,Engenheiro Coelho,0,0
2020-04-07,Holambra,0,1
2020-04-07,Hortolândia,2,3
2020-04-07,Indaiatuba,4,6
2020-04-07,Itatiba,0,0
2020-04-07,Jaguariúna,0,1
2020-04-07,Monte Mor,0,0
2020-04-07,Morungaba,0,0
2020-04-07,Nova Odessa,0,0
2020-04-07,Paulínia,1,5
2020-04-07,Pedreira,0,0
2020-04-07,Santa Bárbara D'oeste,0,0
2020-04-07,Santo Antônio De Posse,0,0
2020-04-07,Sumaré,0,4
2020-04-07,Valinhos,4,7
2020-04-07,Vinhedo,1,6
2020-04-08,Americana,0,4
2020-04-08,Artur Nogueira,1,1
2020-04-08,Campinas,15,85
2020-04-08,Cosmópolis,0,0
2020-04-08,Engenheiro Coelho,0,0
2020-04-08,Holambra,0,1
2020-04-08,Hortolândia,0,3
2020-04-08,Indaiatuba,5,11
2020-04-08,Itatiba,0,0
2020-04-08,Jaguariúna,0,1
2020-04-08,Monte Mor,0,0
2020-04-08,Morungaba,0,0
2020-04-08,Nova Odessa,0,0
2020-04-08,Paulínia,0,5
2020-04-08,Pedreira,0,0
